host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,minimum_minimum_nights,instant_bookable,reviews_per_month,amenities_number
f,t,t,De Pijp - Rivierenbuurt,52.35361,4.90562,Private room,4,3.0,3.0,200.0,3,3,f,0.91,32
f,t,t,Zuid,52.34751,4.84963,Entire home/apt,3,1.0,1.0,165.0,2,2,f,0.26,8
t,t,t,Oostelijk Havengebied - Indische Buurt,52.36461,4.93892,Entire home/apt,3,2.0,2.0,145.0,4,4,f,0.76,16
f,t,t,De Baarsjes - Oud-West,52.3686,4.86487,Private room,2,1.0,1.0,37.0,2,2,f,0.17,6
f,t,f,Oud-Oost,52.36528,4.9301,Entire home/apt,2,1.0,1.0,150.0,7,7,f,0.19,6
f,t,t,De Baarsjes - Oud-West,52.36368,4.85506,Entire home/apt,2,1.0,1.0,147.0,3,3,f,0.6,29
f,t,t,De Baarsjes - Oud-West,52.37336,4.85754,Entire home/apt,4,3.0,4.0,112.0,2,2,f,0.55,27
f,t,t,Centrum-West,52.37956,4.89359,Private room,2,1.0,1.0,118.0,2,2,t,2.33,18
f,t,t,Centrum-West,52.38172,4.8831,Entire home/apt,2,1.0,1.0,157.0,7,7,f,0.2,25
f,t,f,De Baarsjes - Oud-West,52.36916,4.86643,Entire home/apt,3,2.0,3.0,120.0,3,3,f,0.92,27
f,t,t,Zuid,52.3559,4.87919,Entire home/apt,4,3.0,2.0,249.0,2,2,f,0.55,24
f,t,f,De Baarsjes - Oud-West,52.36339,4.85402,Entire home/apt,6,3.0,3.0,97.0,4,4,f,0.43,30
f,t,f,Centrum-Oost,52.36208,4.9101,Entire home/apt,2,1.0,1.0,168.0,2,2,f,1.24,13
f,t,t,De Baarsjes - Oud-West,52.35964,4.86713,Entire home/apt,4,1.0,2.0,200.0,2,2,f,0.93,32
f,t,t,De Pijp - Rivierenbuurt,52.34332,4.89484,Entire home/apt,3,2.0,2.0,245.0,21,21,t,0.24,34
f,t,f,Oud-Noord,52.38624,4.90067,Entire home/apt,2,2.0,2.0,125.0,30,30,f,0.14,11
t,t,f,De Baarsjes - Oud-West,52.36824,4.85321,Private room,2,1.0,1.0,48.0,1,1,f,3.29,29
t,t,t,Centrum-West,52.37433,4.89247,Private room,4,1.0,3.0,113.0,2,2,t,1.68,29
f,t,t,Centrum-Oost,52.36057,4.89671,Private room,2,1.0,1.0,73.0,3,3,t,5.41,29
f,t,f,Centrum-West,52.38393,4.89237,Entire home/apt,2,1.0,1.0,129.0,3,3,f,0.37,7
f,t,t,Westerpark,52.38351,4.87573,Entire home/apt,3,1.0,2.0,99.0,5,5,f,0.38,15
f,t,t,De Baarsjes - Oud-West,52.35931,4.86111,Entire home/apt,2,1.0,5.0,71.0,5,5,f,0.37,24
f,t,t,Zuid,52.34744,4.86886,Entire home/apt,4,3.0,4.0,284.0,3,3,f,0.22,22
f,t,t,De Baarsjes - Oud-West,52.36889,4.86429,Entire home/apt,2,1.0,1.0,99.0,1,1,f,0.03,7
f,t,t,De Baarsjes - Oud-West,52.36895,4.86452,Entire home/apt,4,2.0,3.0,246.0,3,3,f,0.19,35
f,t,t,Zuid,52.35165,4.84653,Entire home/apt,2,1.0,1.0,151.0,2,2,f,0.37,31
t,t,f,Centrum-West,52.37169,4.89446,Private room,3,1.0,2.0,99.0,3,3,f,1.54,23
f,t,t,De Pijp - Rivierenbuurt,52.33762,4.8936,Entire home/apt,4,2.0,3.0,157.0,3,3,f,0.2,41
f,t,f,Centrum-West,52.36891,4.8897,Private room,2,1.0,1.0,245.0,2,2,f,0.1,17
t,t,t,De Baarsjes - Oud-West,52.3611,4.85894,Entire home/apt,2,1.0,1.0,119.0,3,3,f,1.19,29
t,t,t,De Baarsjes - Oud-West,52.35957,4.86589,Entire home/apt,4,1.0,2.0,135.0,4,4,f,0.86,30
f,t,t,Centrum-West,52.37591,4.87807,Entire home/apt,4,2.0,2.0,125.0,14,14,f,0.15,17
t,t,t,Centrum-West,52.36791,4.88809,Private room,4,2.0,3.0,110.0,2,1,t,1.0,36
t,t,t,De Baarsjes - Oud-West,52.36707,4.87348,Private room,2,1.0,2.0,128.0,2,2,f,3.16,28
t,t,t,Oostelijk Havengebied - Indische Buurt,52.3661,4.93299,Entire home/apt,2,1.0,1.0,79.0,4,4,f,1.49,7
t,t,f,Centrum-Oost,52.36597,4.90801,Private room,2,1.0,1.0,149.0,2,2,f,1.23,27
f,t,t,Centrum-West,52.37131,4.88206,Entire home/apt,2,1.0,1.0,296.0,3,3,f,0.54,16
t,t,t,De Pijp - Rivierenbuurt,52.34426,4.88722,Private room,4,2.0,2.0,155.0,2,2,f,0.87,26
f,t,t,De Baarsjes - Oud-West,52.35941,4.85995,Entire home/apt,5,4.0,6.0,250.0,5,5,f,0.08,24
t,t,t,Zuid,52.35519,4.85117,Private room,2,1.0,1.0,88.0,3,3,f,1.15,19
f,t,t,De Baarsjes - Oud-West,52.36048,4.86345,Entire home/apt,2,1.0,1.0,85.0,2,2,t,0.2,19
